"","from","to","m","km","miles","seconds","minutes","hours"
"1","Mission Dolores Park","Mission Dolores Park",0,0,0,0,0,0
"2","San Francisco Ferry Building (Harry Bridges Plaza)","Mission Dolores Park",5568,5.568,3.4599552,1520,25.3333333333333,0.422222222222222
"3","Market St at Franklin St","Mission Dolores Park",1729,1.729,1.0744006,589,9.81666666666667,0.163611111111111
"4","Laguna St at Hayes St","Mission Dolores Park",1848,1.848,1.1483472,641,10.6833333333333,0.178055555555556
"5","Berry St at 4th St","Mission Dolores Park",4965,4.965,3.085251,1285,21.4166666666667,0.356944444444444
"6","Valencia St at 24th St","Mission Dolores Park",1565,1.565,0.972491,359,5.98333333333333,0.0997222222222222
"7","Valencia St at 16th St","Mission Dolores Park",855,0.855,0.531297,251,4.18333333333333,0.0697222222222222
"8","Division St at Potrero Ave","Mission Dolores Park",3110,3.11,1.932554,937,15.6166666666667,0.260277777777778
"9","16th St Mission BART Station 2","Mission Dolores Park",1029,1.029,0.6394206,320,5.33333333333333,0.0888888888888889
"10","San Francisco Caltrain Station 2  (Townsend St at 4th St)","Mission Dolores Park",5060,5.06,3.144284,1338,22.3,0.371666666666667
"11","Townsend St at 5th St","Mission Dolores Park",4073,4.073,2.5309622,1109,18.4833333333333,0.308055555555556
"12","18th St at Noe St","Mission Dolores Park",492,0.492,0.3057288,72,1.2,0.02
"13","Folsom St at 19th St","Mission Dolores Park",987,0.987,0.6133218,415,6.91666666666667,0.115277777777778
"14","Webster St at O'Farrell St","Mission Dolores Park",3084,3.084,1.9163976,880,14.6666666666667,0.244444444444444
"15","Rhode Island St at 17th St","Mission Dolores Park",2332,2.332,1.4491048,707,11.7833333333333,0.196388888888889
"16","San Francisco Caltrain (Townsend St at 4th St)","Mission Dolores Park",4378,4.378,2.7204892,1217,20.2833333333333,0.338055555555556
"17","Folsom St at 15th St","Mission Dolores Park",1616,1.616,1.0041824,527,8.78333333333333,0.146388888888889
"18","4th St at Mission Bay Blvd S","Mission Dolores Park",3938,3.938,2.4470732,1064,17.7333333333333,0.295555555555556
"19","Civic Center/UN Plaza BART Station (Market St at McAllister St)","Mission Dolores Park",2975,2.975,1.848665,832,13.8666666666667,0.231111111111111
"20","McCoppin St at Valencia St","Mission Dolores Park",1596,1.596,0.9917544,436,7.26666666666667,0.121111111111111
"21","Market St at 10th St","Mission Dolores Park",2655,2.655,1.649817,743,12.3833333333333,0.206388888888889
"22","Golden Gate Ave at Polk St","Mission Dolores Park",3218,3.218,1.9996652,903,15.05,0.250833333333333
"23","Washington St at Kearny St","Mission Dolores Park",5555,5.555,3.451877,1605,26.75,0.445833333333333
"24","Commercial St at Montgomery St","Mission Dolores Park",5202,5.202,3.2325228,1436,23.9333333333333,0.398888888888889
"25","Sanchez St at 17th St","Mission Dolores Park",475,0.475,0.295165,73,1.21666666666667,0.0202777777777778
"26","11th St at Natoma St","Mission Dolores Park",2328,2.328,1.4466192,703,11.7166666666667,0.195277777777778
"27","Church St at Duboce Ave","Mission Dolores Park",1355,1.355,0.841997,330,5.5,0.0916666666666667
"28","Yerba Buena Center for the Arts (Howard St at 3rd St)","Mission Dolores Park",4206,4.206,2.6136084,1196,19.9333333333333,0.332222222222222
"29","Clay St at Battery St","Mission Dolores Park",5376,5.376,3.3406464,1489,24.8166666666667,0.413611111111111
"30","Cyril Magnin St at Ellis St","Mission Dolores Park",4358,4.358,2.7080612,1140,19,0.316666666666667
"31","Valencia St at 22nd St","Mission Dolores Park",1209,1.209,0.7512726,305,5.08333333333333,0.0847222222222222
"32","Broadway at Kearny","Mission Dolores Park",6174,6.174,3.8365236,1648,27.4666666666667,0.457777777777778
"33","Folsom St at 9th St","Mission Dolores Park",2887,2.887,1.7939818,845,14.0833333333333,0.234722222222222
"34","17th St at Valencia St","Mission Dolores Park",675,0.675,0.419445,219,3.65,0.0608333333333333
"35","Montgomery St BART Station (Market St at 2nd St)","Mission Dolores Park",4607,4.607,2.8627898,1257,20.95,0.349166666666667
"36","16th St Mission BART","Mission Dolores Park",1029,1.029,0.6394206,320,5.33333333333333,0.0888888888888889
"37","8th St at Ringold St","Mission Dolores Park",2848,2.848,1.7697472,848,14.1333333333333,0.235555555555556
"38","Harrison St at 17th St","Mission Dolores Park",1411,1.411,0.8767954,490,8.16666666666667,0.136111111111111
"39","5th St at Brannan St","Mission Dolores Park",4270,4.27,2.653378,1164,19.4,0.323333333333333
"40","11th St at Bryant St","Mission Dolores Park",2594,2.594,1.6119116,746,12.4333333333333,0.207222222222222
"41","Union Square (Powell St at Post St)","Mission Dolores Park",4598,4.598,2.8571972,1221,20.35,0.339166666666667
"42","Powell St BART Station (Market St at 4th St)","Mission Dolores Park",4048,4.048,2.5154272,1066,17.7666666666667,0.296111111111111
"43","Mississippi St at 17th St","Mission Dolores Park",3014,3.014,1.8728996,830,13.8333333333333,0.230555555555556
"44","2nd St at Folsom St","Mission Dolores Park",4739,4.739,2.9448146,1348,22.4666666666667,0.374444444444444
"45","San Francisco Public Library (Grove St at Hyde St)","Mission Dolores Park",3068,3.068,1.9064552,892,14.8666666666667,0.247777777777778
"46","Howard St at 2nd St","Mission Dolores Park",4549,4.549,2.8267486,1298,21.6333333333333,0.360555555555556
"47","Bryant St at 6th St","Mission Dolores Park",4020,4.02,2.498028,1161,19.35,0.3225
"48","Howard St at 8th St","Mission Dolores Park",2889,2.889,1.7952246,847,14.1166666666667,0.235277777777778
"49","Irwin St at 8th St","Mission Dolores Park",2785,2.785,1.730599,820,13.6666666666667,0.227777777777778
"50","Harrison St at 20th St","Mission Dolores Park",1624,1.624,1.0091536,514,8.56666666666667,0.142777777777778
"51","16th St at Prosper St","Mission Dolores Park",727,0.727,0.4517578,103,1.71666666666667,0.0286111111111111
"52","3rd St at Townsend St","Mission Dolores Park",4626,4.626,2.8745964,1249,20.8166666666667,0.346944444444444
"53","19th St at Mission St","Mission Dolores Park",603,0.603,0.3747042,254,4.23333333333333,0.0705555555555556
"54","Jackson Playground","Mission Dolores Park",2584,2.584,1.6056976,754,12.5666666666667,0.209444444444444
