"","lat","long","id","name","start_no","end_no","elevation"
"1",37.7614205,-122.4264353,120,"Mission Dolores Park",370,419,15.77
"2",37.795392,-122.394203,15,"San Francisco Ferry Building (Harry Bridges Plaza)",2167,2433,3.24
"3",37.3487586867448,-121.894797831774,304,"Jackson St at 5th St",71,78,20.46
"4",37.7737932060887,-122.42123901844,75,"Market St at Franklin St",491,475,16.68
"5",37.7764348192047,-122.426244020462,74,"Laguna St at Hayes St",467,530,23.76
"6",37.8036865,-122.282497,236,"Market St at 8th St",30,28,8.02
"7",37.7637085,-122.4152042,110,"17th & Folsom Street Park (17th St at Folsom St)",202,257,6.33
"8",37.77588,-122.39317,81,"Berry St at 4th St",2113,2078,3.29
"9",37.7524278,-122.4206278,134,"Valencia St at 24th St",781,851,26.77
"10",37.342725,-121.895617,305,"Ryland Park",137,137,24.37
"11",37.765052,-122.4218661,98,"Valencia St at 16th St",567,730,14.61
"12",37.7692178615237,-122.407645583153,89,"Division St at Potrero Ave",507,663,5.38
"13",37.7647652154977,-122.420091032982,223,"16th St Mission BART Station 2",533,689,10.57
"14",37.336802,-121.8940901,308,"San Pedro Square",143,110,25.5
"15",37.8045623549303,-122.271738052368,7,"Frank H Ogawa Plaza",576,552,13.07
"16",37.7766392,-122.3955263,67,"San Francisco Caltrain Station 2  (Townsend St at 4th St)",1890,2395,3.64
"17",37.7753058,-122.39738,80,"Townsend St at 5th St",453,344,2.97
"18",37.8677892,-122.2658964,247,"Fulton St at Bancroft Way",150,194,61.02
"19",37.329732,-121.901782,312,"San Jose Diridon Station",339,352,28.25
"20",37.8524766,-122.2702132,241,"Ashby BART Station",354,341,32.37
"21",37.8688126,-122.258764,239,"Bancroft Way at Telegraph Ave",376,347,82.57
"22",37.8090126,-122.2682473,182,"19th Street BART Station",1007,1054,6.07
"23",37.7610471,-122.4326417,119,"18th St at Noe St",324,314,28.79
"24",37.8284099730585,-122.26631462574,176,"MacArthur BART Station",973,994,23.12
"25",37.7605936,-122.4148171,123,"Folsom St at 19th St",354,308,8.33
"26",37.783520835261,-122.431157827377,285,"Webster St at O'Farrell St",385,332,39.17
"27",37.8007544,-122.2748943,202,"Washington St at 8th St",144,165,11.05
"28",37.7479981,-122.4202187,141,"Valencia St at Cesar Chavez St",411,339,23.11
"29",37.7644783,-122.4025701,114,"Rhode Island St at 17th St",622,659,9.69
"30",37.776598,-122.395282,30,"San Francisco Caltrain (Townsend St at 4th St)",2194,2857,3.75
"31",37.7670373,-122.4154425,99,"Folsom St at 15th St",408,418,5.59
"32",37.7704074,-122.3911984,93,"4th St at Mission Bay Blvd S",1080,1247,3.51
"33",37.7810737,-122.4117382,44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)",870,1132,13.25
"34",37.7716624622162,-122.42242321372,76,"McCoppin St at Valencia St",493,537,15.84
"35",37.8107432,-122.2914153,230,"14th St at Mandela Pkwy",156,181,5.73
"36",37.776619,-122.417385,58,"Market St at 10th St",1975,1789,17.01
"37",37.78127,-122.41874,41,"Golden Gate Ave at Polk St",720,672,23.43
"38",37.7472996,-122.4114029,144,"Precita Park",277,256,15.54
"39",37.8087021,-122.2699271,183,"Telegraph Ave at 19th St",313,363,7.78
"40",37.7953929372545,-122.404770255089,10,"Washington St at Kearny St",304,381,11.38
"41",37.8031890811316,-122.270579338074,338,"13th St at Franklin St",139,107,12.74
"42",37.794231,-122.402923,13,"Commercial St at Montgomery St",486,550,5.24
"43",37.7632417,-122.4306746,106,"Sanchez St at 17th St",181,128,30.73
"44",37.8053183,-122.2948365,160,"West Oakland BART Station",438,512,4.63
"45",37.7423139,-122.4231805,146,"30th St at San Jose Ave",152,99,34.68
"46",37.7735069,-122.4160402,77,"11th St at Natoma St",497,526,11.43
"47",37.7700831,-122.4291557,85,"Church St at Duboce Ave",423,312,38.7
"48",37.8160731150114,-122.267886400223,179,"Telegraph Ave at 27th St",221,173,10.26
"49",37.7848720843606,-122.400875687599,284,"Yerba Buena Center for the Arts (Howard St at 3rd St)",508,554,9.69
"50",37.795001,-122.39997,14,"Clay St at Battery St",645,731,3.8
"51",37.8575672,-122.2675583,274,"Oregon St at Adeline St",178,184,44.01
"52",37.7976728,-122.2629973,201,"10th St at Fallon St",214,279,6.64
"53",37.7858806269413,-122.408915008432,4,"Cyril Magnin St at Ellis St",341,357,17.97
"54",37.7552126,-122.4209752,133,"Valencia St at 22nd St",456,421,25.01
"55",37.7980136439598,-122.405950427055,323,"Broadway at Kearny",610,378,21.77
